Terrorist_Organization,Min_Year,Max_Year,Min_Month,Max_Month,Min_Day,Max_Day,Number_Of_Attacks,Number_Of_Deaths
Xhosa Tribal Workers,1992,1992,12,12,25,25,1,6
Abkhazian guerrillas,1992,2009,10,12,21,28,2,15
Al-Qaida,1992,2011,1,12,0,29,74,3863
Kotoko Tribal Group,1994,1994,1,1,3,17,2,19
Togolese Dissidents,1994,1994,1,10,5,6,3,26
Maccabee Squad and the Shield of David,1994,1994,1,1,6,6,2,0
Kaka-Tribesmen,1994,1996,1,6,5,9,2,10
Nuclei Communist Combattants,1994,1994,1,1,10,10,1,0
Great Eastern Islamic Raiders Front (IBDA-C),1994,2003,1,12,6,31,36,27
Bani Nawaf tribe,1994,1994,1,1,23,23,1,0
Aryan Republican Army,1994,1995,1,12,4,30,16,0
Farm Animal Revenge Militia (FARM),1994,1994,1,1,27,30,2,0
Revolutionary United Front (RUF),1994,2000,1,11,0,31,61,533
Armed Islamic Group (GIA),1994,2006,1,12,0,31,234,1465
Mousa Ismail sub-clan,1994,1994,2,2,9,9,1,0
Abu Sayyaf Group (ASG),1994,2018,1,12,0,31,530,800
"Rival Zulu Group, name not stated",1994,1994,2,2,20,20,1,0
Khalistan Zindabad (Long Live Khalistan),1994,1994,2,8,23,25,2,10
Faithful Resistance,1994,1994,2,2,27,27,1,5
Uganda Democratic Christian Army (UDCA),1994,1994,3,3,1,1,1,2
Anti-Semitic extremists,1994,2018,1,12,1,28,40,16
Moslem Activists,1994,1994,3,6,1,31,51,146
Fatah Hawks,1994,2001,3,11,3,29,5,5
Coca Farmers,1994,1997,1,12,4,17,5,6
Manatari Brotherhood,1994,1994,3,3,6,6,1,1
Jihadi-inspired extremists,1994,2018,1,12,0,31,135,304
Revolutionary Front for Hatian Advancement and Progress (FRAPH),1994,1994,3,10,9,28,4,39
Minority Unity Forum,1994,1994,3,3,18,18,1,1
Movement for Dignity and Soverignty,1994,1994,3,3,21,21,1,0
Suriname Liberation Front,1994,1994,3,3,21,21,1,0
Motherland Party,1994,1994,3,3,24,24,1,1
Human Rights Defence Committee,1994,1994,3,3,26,26,1,0
Former Muslim Guerrillas,1994,1994,3,3,29,29,1,0
Taihikai (Great Sadness),1994,1994,4,4,1,1,1,0
Ningo Tribe,1994,1994,4,4,7,7,1,0
Southern Sierra Peasant Organization,1994,1995,4,7,1,11,2,0
The Islamic Movement,1994,1994,4,4,19,19,1,0
Habr Gedir Clan,1994,2002,2,8,10,22,3,7
Naga Students Federation,1994,1994,4,4,30,30,2,0
Popular Liberation Front Urban Commando,1994,1994,5,5,2,2,1,0
Association of Students and Pupils in Mali (AEEM),1994,1994,5,5,6,6,1,0
Zulu Miners,1994,1994,5,5,7,7,1,1
Anti-Fascist Action,1994,1994,5,5,12,12,1,0
Furious Rebellion,1994,1994,5,5,13,13,1,0
Popular Front for the Liberation of the Sahara,1994,1994,5,5,16,16,1,40
Puka Inti Maoist Communist Party,1994,1994,5,5,20,25,2,0
"Ultra Nationalist Group, name not given",1994,1994,5,5,30,30,1,0
Francisco Villa People's Front,1994,1995,5,10,2,31,2,1
Harkat ul Ansar,1994,1998,1,8,6,29,12,40
Former Interior Ministry Officers,1994,1994,6,9,7,26,3,0
Afghan War Veterans,1994,1994,6,6,27,27,1,0
David's Sword,1994,1994,7,7,1,1,1,1
Death to the Demobilized Militias,1994,1994,7,7,8,8,1,1
Rival Parts,1994,1994,7,7,11,11,1,2
Mesopotamian Army (MEZOR),1994,1994,7,7,13,13,1,0
Arsonists,1994,1997,7,7,13,21,2,0
Corsican Farmers' Front,1994,1994,7,7,14,14,1,0
Ansar Allah,1994,1994,7,7,19,19,1,21
Islamic Arab Front of Azawad (FIAA),1994,1994,7,7,20,25,2,60
Long-time Muslim immigrants from Bangladesh,1994,1994,7,7,21,21,5,0
Al-Jehad,1994,1995,7,11,15,22,3,1
Colombia Without Guerrillas,1994,1994,7,8,19,28,4,6
Serbian Gangsters,1994,1994,7,7,23,23,1,0
Maoist Farm Laborers Struggle Committee (MXSS),1994,1994,7,7,23,23,1,6
Anti-Revolutionary Agents,1994,1994,7,8,14,23,3,0
U/I Snipers,1994,2002,3,7,3,24,2,12
New Indigenous Army,1994,1994,7,7,24,24,1,0
Palestinian Activists,1994,1994,7,7,24,24,1,1
United Students Forum,1994,1994,7,7,26,26,1,6
Shop owners,1994,1994,7,7,27,27,1,0
Ganda Koi,1994,1994,7,7,30,30,1,0
Movement of the Islamic State (MEI),1994,1994,7,7,31,31,1,11
Korea Univ. Students,1994,1994,8,8,4,4,1,1
Council for Popular Justice,1994,1994,8,8,13,13,2,0
Albatros Commando,1994,1994,8,8,16,16,1,0
Turks of Western Thrace,1994,1994,8,8,16,16,1,0
Lord's Resistance Army (LRA),1994,2018,1,12,0,31,268,3123
Iraqi Islamic Vanguards for National Salvation (IIVNS),1994,1999,6,8,14,22,2,1
Organized Crime,1994,1995,1,8,10,25,2,2
Socialist Chhatra League,1994,1994,9,9,1,1,1,1
National Democratic Party,1994,1994,9,10,4,15,2,3
U/I Asian Gang,1994,1994,9,9,5,5,1,0
U/I Somali Militiamen,1994,2000,9,11,9,12,2,5
Presidential Movement (MP) Militiamen,1994,1994,9,9,10,10,1,2
U/I Private army of wral politician,1994,1994,9,9,11,11,1,10
Pro-Khasbulaton Rebels,1994,1994,9,9,14,14,2,0
National Liberation People's Front (FPLN),1994,1994,9,9,18,18,1,0
Aristide supporters,1994,1994,9,10,16,30,4,15
Devrimici Halk Kurtulus Cephesi (DHKP/C),1994,2017,1,12,1,31,42,28
U/I Liberian Gunmen,1994,2000,9,11,28,28,2,10
U/I Catholic Traditionalists,1994,1994,9,9,29,29,1,3
Georgian Sabotage Group,1994,1994,9,9,29,29,1,4
Depositers angered,1994,1994,10,10,6,6,1,0
United Action Council,1994,1994,10,12,12,22,3,0
Taxi Drivers,1994,1997,5,11,16,29,6,10
Al-Hadid,1994,1994,10,10,16,19,2,0
Paupa New Guinea Troops,1994,1994,10,10,16,16,1,0
Pro-Aristade,1994,1994,10,10,17,17,1,0
Kuki Tribal Militants,1994,2015,1,10,3,24,5,37
Opposition Jatiya Samajtantrik Del Party,1994,1994,10,10,20,20,1,0
Cleansing Squad,1994,1995,2,10,23,26,2,16
Black African Vigilantes,1994,1994,10,10,24,24,1,11
Fundamentalists,1994,2000,7,10,24,26,2,0
Dignity Command,1994,1994,10,10,29,29,1,0
Indians,1994,1994,10,10,30,30,1,0
White Guard,1994,1994,10,10,30,30,1,1
United National Party,1994,1997,2,11,9,11,2,2
Timorese Students,1994,1996,11,11,7,13,3,0
Jaime Bateman Cayon Group (JBC),1994,1999,5,12,4,23,6,1
Union of Peaceful Citizens of Algeria,1994,1994,11,11,13,13,1,0
Islamist Sufi Group,1994,1994,11,11,14,14,1,1
Rival Party Members,1994,1994,11,11,15,15,1,1
Rival Soccer Clubs,1994,1994,11,11,20,20,1,0
Squatters,1994,1994,11,11,22,22,1,0
Shangytown residents,1994,1994,11,11,24,24,1,0
Congress Party Activists,1994,1995,2,12,1,16,3,3
Malitia-Pro Govt,1994,1994,12,12,3,3,1,2
Bihar People's  Party (Hindu militants),1994,1994,12,12,5,5,1,1
Bosnian Serbs,1994,1994,12,12,6,6,1,0
King Street,1994,1994,12,12,7,7,1,0
Kim Pyongnil Supporters,1994,1994,12,12,13,13,1,3
Alex Boncayao Brigade (ABB),1994,2017,1,12,1,27,13,9
El Mico Rebel Gray,1994,1994,12,12,16,16,1,2
Krikapi Indians,1994,1994,12,12,20,20,1,0
Civilians Seeking Revenge,1994,1994,12,12,31,31,1,1
Attaches,1995,1995,1,1,9,9,1,0
State Council of Indian and Peasant Organization,1995,1995,1,1,10,10,1,2
Committee of Coordination,1995,1995,1,1,12,19,4,6
Paramilitaries,1995,2010,1,12,0,30,42,258
Macetos (Paramilitary Group),1995,1995,1,1,15,15,1,7
Namchong-Nyon Students,1995,1995,1,1,19,19,1,0
Pareci Indians,1995,1995,1,1,21,21,1,2
Anti-Imperialist Cell (AIZ),1995,1995,1,9,17,23,3,0
Association of Demobilized Armed Forces,1995,1995,1,1,24,24,3,0
Concerned citizens,1995,1995,1,1,29,29,1,1
People's Alliance,1995,1996,2,4,2,6,2,0
Ninjas,1995,2003,2,8,1,25,9,94
Democratic Karen Buddhist Army (DKBA),1995,2017,1,12,1,30,24,53
Former Soldiers/Police,1995,2000,2,8,14,28,2,1
Right-Wing Youths,1995,1995,2,2,20,20,1,0
Afghan Merceneries,1995,1995,2,2,21,21,1,7
Islamic Renewal Movement,1995,1995,2,2,24,24,1,0
Egyptians,1995,2003,2,10,14,30,3,5
Right-Wing Militants,1995,1997,2,3,3,17,2,0
Anti-Narita Extremists,1995,1995,3,3,3,14,2,0
Shanty Dwellers,1995,1995,3,3,7,7,1,0
Central American Movement of Solidarity (MOSCA),1995,1995,3,3,7,7,2,0
Democratic Front for Renewal (FDR),1995,1996,3,6,6,11,2,19
Opossition 48 hour general strikers,1995,1995,3,3,12,12,1,0
Kenyan rebels from Uganda,1995,1995,3,3,12,12,1,2
Right-Wing Paramilitaries,1995,2017,1,10,0,26,17,104
Nomadic AFARS,1995,1995,3,3,15,15,1,0
Movement for Democracy and Development (MDD),1995,1995,3,3,19,19,1,0
Burmese Minority Group Pirates,1995,1995,3,3,21,21,1,0
National Democratic Alliance (NDA),1995,2016,3,6,12,31,2,2
Zairian Dissidents,1995,1995,4,4,6,6,1,13
Hutus Former Soldiers,1995,2001,2,9,2,9,5,49
Algeisk Wolves,1995,1995,4,6,8,9,3,1
All-Party Students Union,1995,1995,4,4,10,10,1,1
Jewish Fighting Organization (Eyal),1995,1995,11,11,4,4,1,1
Khun Sa Guerrillas,1995,1995,4,4,12,12,5,3
Kalpar Tribesmen,1995,1995,4,11,13,20,2,5
Local landlord employee,1995,1995,4,4,16,16,1,1
Taliban,1995,2018,1,12,0,31,8334,37764
Peasant Self-Defense Group (ACCU),1995,1998,3,12,2,29,23,313
Hiroyuki Jo,1995,1995,4,4,23,23,1,1
Mazari Tribesmen,1995,1995,5,5,4,4,1,0
Liberia Peace Council,1995,1995,5,5,4,4,1,1
Tulawie Clan,1995,1995,5,5,8,8,1,6
Union members,1995,1995,5,5,21,21,2,0
Boer Sentries,1995,1995,5,5,22,22,1,0
M-19 Splinter,1995,1995,5,5,23,23,1,0
Supporters of opposing candidate Abdu Sakurtan,1995,1995,5,5,30,30,1,3
Kuki tribesmen,1995,1997,6,12,6,29,5,58
Vietnamese Detainees,1995,1995,6,6,7,7,1,0
Bavarian Liberation Army,1995,1995,6,6,9,13,3,0
Belarusian Liberation Army,1995,1997,6,9,9,10,2,0
Tribal Clash,1995,1995,6,6,10,10,1,5
Pacific Popular Front,1995,1995,6,6,17,17,1,0
Sandinista Protester,1995,1995,6,6,20,20,1,0
United Wa State Army,1995,2018,6,9,8,21,6,6
St. Kitts Nevis Labor Party,1995,1995,6,6,25,25,1,0
Huria Kristen Batak Protestan (HKBP),1995,1995,6,11,1,25,4,1
Professional Killers,1995,1995,6,6,27,27,2,2
Rival Bangledesh Chhatra League Faction,1995,1995,6,6,28,28,1,1
U/I Militia Group led by Raul Martinez,1995,1995,6,6,29,29,1,0
Chinese Mafia,1995,1995,7,7,3,3,1,1
National Accord Movement,1995,1995,7,7,3,3,1,0
Al-Faran,1995,1995,7,10,4,19,2,1
Purbo Banglar Communist Party,1995,2011,2,10,1,31,22,50
Students  U of PNG,1995,1995,7,7,14,14,1,0
Party for Democracy anti-nuclear-test protesters,1995,1995,7,7,19,19,1,0
Armed Forces for a Federal Republic (FARF),1995,1995,7,7,21,21,1,0
Israeli extremists,1995,2018,1,12,2,31,38,6
Tripura Separatists,1995,1995,7,7,28,28,1,0
Anti-Establishment Nucleus,1995,1995,8,8,5,10,2,0
Tanzeem Ittehad - I - Ulema Qabail (Tiuq)Tribesmen,1995,1995,8,8,12,12,1,9
Commandos for A Popular alternative,1995,1995,8,8,12,13,4,38
Islamic Salvation Front (Palestine),1995,1995,8,8,13,13,1,0
Revolutionary Voice of the People (VPR),1995,1995,8,8,20,20,2,0
U/I Islamic Separatists,1995,1995,8,8,21,21,2,0
Miscreants,1995,2011,8,11,3,23,5,1
H-World/Heavenly Group,1995,1995,8,8,26,26,1,3
Kurdish Islamic Unity Party,1995,1995,8,8,27,27,1,2
Cuncolta Naziunalista,1995,1995,8,8,31,31,1,2
Movement for Self-Determination,1995,1995,8,8,31,31,1,1
Asbat al-Ansar,1995,2010,1,8,3,31,3,5
Pro-Government Students,1995,1995,9,9,3,3,1,2
Lavalas Supporters,1995,1995,9,9,3,3,1,2
Peasant Squatters,1995,1995,9,9,7,7,1,0
Dukhta-ran-e-Millat,1995,1995,9,9,7,7,1,1
E. Timorese Youths,1995,1996,9,11,7,29,6,3
Leftist youths,1995,1995,9,9,11,11,1,1
Tamil Nadu Liberation Army,1995,2014,1,9,10,29,5,0
Rival Activists,1995,1996,2,9,2,30,10,13
Islamic Revival Movement,1995,1995,9,9,28,28,1,2
Sons of the Gestapo,1995,1995,10,10,9,9,1,1
Pro-Indonesia extremists,1995,2003,1,10,1,21,6,6
Algerian Moslem Fundamentalists,1995,2000,10,12,14,23,3,25
Slum Dwellers,1995,1995,10,10,15,15,1,0
Disgruntled Petroecuador workers,1995,1995,10,10,18,18,1,0
Supporters of Second Prime Minister Hun Sen,1995,1995,10,10,23,23,1,0
Former Student Hostel,1995,1995,10,10,25,25,1,0
leftist guerrillas-Bolivarian militia,1995,1995,10,10,29,29,1,0
Dignity for Colombia,1995,1996,2,11,1,26,4,3
Ethiopians,1995,2001,4,11,9,26,2,0
International Justice Group (Gama'a al-Adela al-Alamiya),1995,1995,11,11,13,13,1,1
Strike Enforcers,1995,1995,11,11,15,15,1,0
Supporters of President J-B Aristide,1995,1995,11,11,15,15,1,0
Evangelical Christians,1995,1995,11,11,19,19,1,8
Jammu and Kashmir Islamic Front,1995,2016,1,11,3,22,5,22
Anti - Election Demonstrators,1995,1995,11,11,22,22,1,0
Civil War Veterans,1995,2000,11,11,23,28,2,1
U/l men,1995,1995,11,11,29,29,1,0
Charlot Jacquelin Militant Front,1995,1995,12,12,7,7,1,0
Pro-State Militiamen,1995,1995,12,12,14,14,1,0
Direct Action Against Drugs (DADD),1995,1996,1,12,1,27,4,4
Cell for Internationalism,1995,1995,12,12,20,20,1,0
Anti-Nuclear Society for a Silent Counter-Offensive (ANGST),1996,1996,1,1,2,2,1,0
Chechen Lone Wolf Group,1996,1996,1,1,9,10,2,23
National Council of Maubere Resistance,1996,1996,1,1,9,9,1,9
United Front for Nigeria's Liberation (UFNL),1996,1996,1,1,17,17,1,14
Student Militants,1996,1996,1,1,30,30,1,0
Karnataka State Farmers Association,1996,1996,1,1,30,30,1,0
Rival peasant band,1996,1996,1,1,31,31,1,4
Rival Afghan Group,1996,1996,2,2,3,3,1,7
Kosovo Liberation Army (KLA),1996,2015,1,12,2,29,54,45
Islamic Front for the Liberation of Bahrain,1996,1996,2,2,11,11,1,0
U/I Liberians,1996,1996,2,2,19,19,1,5
Social Christian Party (PSC),1996,1996,3,3,3,3,1,0
Thavar Caste,1996,1996,3,3,3,3,1,1
Rival caste,1996,1996,3,4,7,9,5,11
Irianese Tribesmen,1996,1996,3,3,10,12,2,0
Militant Peasants (NFI),1996,1996,3,3,20,22,2,6
Local Extremist,1996,1996,3,3,23,23,1,0
Bani Hilal Tribe,1996,1996,3,3,28,28,1,0
Phineas Priesthood,1996,1996,4,7,1,12,4,0
National Socialist Underground,1996,2007,1,10,4,29,14,10
Sudan Alliance Forces,1996,1997,4,12,5,20,4,39
GN-95,1996,1996,4,4,24,24,1,1
Gun runners,1996,1996,5,5,9,9,1,5
Black Mambas,1996,1996,5,5,16,16,1,0
Unidentified Infiltrators,1996,1996,5,5,19,19,1,37
Organization 544,1996,1996,5,5,20,20,1,0
Labor Union Leaders,1996,1996,5,5,21,21,1,0
Islamic Movement of Martyrs,1996,1996,5,5,24,24,1,1
Nihilists Faction,1996,2009,4,5,9,28,2,0
West Nile Bank Front (WNBF),1996,1996,5,5,29,29,1,0
Ikhwan Jammu and Kashmir,1996,1996,6,7,2,8,2,5
Last Alternative Guerrilla Front,1996,1996,6,6,11,11,1,0
Cambodian Gunmen,1996,1996,6,6,16,16,1,1
Saudi Hezbollah,1996,1996,6,6,25,25,1,19
Viviana Gallardo Command,1996,1996,6,6,28,28,1,0
Afridi Tribe,1996,1996,7,7,2,2,1,1
Turkish Revenge Brigade,1996,1996,7,7,7,7,1,1
Ranbir Sena,1996,2009,1,12,1,30,15,95
Continuity Irish Republican Army (CIRA),1996,2016,1,12,1,29,28,8
Popular Revolutionary Army (Mexico),1996,2007,5,12,3,31,22,23
Kaingang Indians,1996,1996,7,7,16,16,1,0
Uighur Separatists,1996,2017,1,12,1,31,86,389
Chinese Illegal Immigrant,1996,1996,7,7,22,22,1,0
Self Defense Forces,1996,1996,7,7,23,23,1,0
Unarmed Algerian,1996,1996,7,7,25,25,1,0
Comando Bautista B,1996,1996,7,7,25,25,1,0
Lebanese male,1996,1996,7,7,26,26,1,0
Peasant protesters,1996,1996,7,8,2,28,2,1
Shinwari Tribe,1996,1996,8,8,1,1,1,15
Hanchongryun,1996,1996,8,8,13,13,1,0
Lashkar-e-Jhangvi,1996,2018,1,12,1,30,141,1226
Kidnapping gang,1996,1996,8,8,26,26,1,1
Sipah-I-Mohammed,1996,2014,1,10,3,17,6,45
Jatav Caste,1996,1996,10,10,1,1,1,4
All Karanataka Youth Council,1996,1996,10,10,2,2,1,0
Ujjan Tribe,1996,1996,10,10,3,3,1,10
Beja Congress,1996,2001,1,10,1,22,4,1
Bahujan Samaj Party,1996,1996,10,10,3,3,2,2
The Organization for the Return of Legality,1996,1996,10,10,5,5,1,0
Lufa Tribesmen,1996,1996,10,10,6,6,1,2
Ethiopian Dongiro tribesmen,1996,1996,10,10,7,7,1,0
Anti-Bhutto demonstrators,1996,1996,10,10,7,7,1,0
National Renewal Party,1996,1996,10,10,10,10,1,0
Vanuatu Mobile Force (VMF),1996,1996,10,11,8,12,2,0
Al-Toaiman Tribesmen,1996,2013,5,10,18,24,2,0
Guaycaipuro Indians,1996,1996,10,10,18,18,1,0
National Council for Defense of Democracy (NCDD),1996,2003,1,11,1,26,15,73
Jamiat ul-Mujahedin (JuM),1996,2013,1,12,2,31,12,47
Earth Liberation Front (ELF),1996,2015,1,12,1,31,72,0
Indian Tigers,1996,1996,10,10,31,31,1,0
Uganda Federal Democratic Alliance (UFEDA),1996,1996,11,11,13,13,1,1
Fighting Guerrilla Formation,1996,1998,1,12,4,30,5,0
Children of November,1996,1999,1,11,11,17,2,0
Ticuna Indian,1996,1996,11,11,18,18,1,0
Revolted Persons of the Polytech School,1996,1996,11,11,18,18,1,0
Demonstrators,1996,1996,11,11,23,23,1,0
"National United Front for an Independent, Neutral, Peaceful, and Cooperative Cambodia (FUNCINPEC)",1996,1996,12,12,5,6,2,0
National People's Movement Coordination Committee,1996,1996,12,12,12,12,3,0
Tajik Rebels,1996,1996,12,12,20,20,1,0
Al-Masni Tribe,1996,1996,12,12,25,25,1,0
Revolutionary Nuclei,1996,2000,3,12,5,29,12,1
Lashkar-e-Taiba (LeT),1996,2018,1,12,1,31,215,1013
Bodo Liberation Tigers (BLT),1996,2008,1,12,2,30,9,78
Islamic Movement for Change,1996,1996,12,12,31,31,1,15
Justice Army for Defenseless Peoples,1997,1997,1,1,4,4,1,4
Boere Aanvals Troepe (BAT),1997,1997,1,1,5,5,3,0
Bosnian refugee,1997,1997,1,1,7,7,1,0
Danish Neo-Nazi Group,1997,1997,1,1,19,19,1,0
Civil Servants and Unionists,1997,1997,1,1,21,21,1,0
Kamal Boulander Group,1997,1997,1,1,28,28,1,2
Pakistan Muslim League (PML),1997,1997,2,2,3,3,1,5
Institutional Revolutionary Party (PRI),1997,1997,2,11,4,21,14,100
Cambodian People's Party (CPP),1997,1997,2,7,5,10,4,48
Revolutionary Proletarian Army,1997,1997,2,2,9,9,1,1
Communist Party of Nepal- Maoist (CPN-M),1997,2008,1,12,1,31,22,654
Tribesmen Murad Tribe,1997,1997,2,8,3,27,4,0
Ashuar Tribe,1997,1997,2,2,15,15,1,0
Death to Rustlers,1997,1997,2,2,18,18,3,21
Anonima Sequestri,1997,1997,2,2,19,19,1,0
Catholic E. Timurese,1997,1997,2,2,21,21,1,1
Allied Democratic Forces (ADF),1997,2018,1,12,1,31,241,1522
Maori,1997,1997,3,3,4,4,1,0
Vietnamese,1997,1997,3,3,4,4,1,0
Buddhist Monks,1997,2014,1,8,10,28,40,0
Koreans,1997,1997,3,3,16,23,2,0
Jihad Islamic League Front,1997,1997,3,3,27,27,1,4
Columbia PM,1997,1997,4,4,1,1,2,2
Timorese guerrillas,1997,1997,4,4,7,7,2,12
Guatemalan hired assasins,1997,1997,4,4,12,12,1,1
Pataxo Indians,1997,1997,4,4,23,23,1,0
Republic of Texas,1997,1997,4,4,27,27,1,0
Tribal guerrillas,1997,1999,4,9,27,30,2,9
Loyalist Volunteer Forces (LVF),1997,2000,1,12,1,31,26,10
Tehrik al-Mojahedin,1997,2018,3,11,2,30,16,5
Communist Party of Nepal- Unified Marxist-Leninist (CPN-UML),1997,2008,6,11,9,20,3,2
Nepali Congress Party (NC),1997,2017,6,11,10,26,2,3
Guerrilla Command Force 97,1997,1997,6,6,13,13,1,0
Elos security firm,1997,1997,6,6,18,18,1,0
Republican Anticlerical Group,1997,1997,6,6,22,22,1,0
Massive escape,1997,1997,6,6,24,24,1,0
Revolutionary Military Council,1997,1997,7,7,6,6,1,0
"Raul Ernesto Cruz Leon, Salvadorian",1997,1997,7,9,4,12,3,0
Sagrado Corazon Fanatic Group,1997,1997,7,7,17,17,1,4
Andres Castro United Front,1997,2000,3,9,16,29,3,3
Northern Diriangen Front (FND),1997,1997,7,7,25,25,3,0
Al-Yemenia al-Ulia Tribesmen,1997,1997,7,7,26,26,1,0
We Who Built Sweden,1997,1997,8,8,5,5,1,0
Tamil Liberation Army,1997,1997,8,8,11,11,2,0
Rahanwein Resistance Army (RRA),1997,1997,8,12,6,29,6,109
White Legion (Georgia),1997,1998,7,11,1,19,3,18
Modakeke Ethnics,1997,1997,8,8,20,20,4,64
Majerten clansmen,1997,1997,8,8,20,20,1,2
Korubo Tribe,1997,1997,8,8,22,22,1,1
Rival clan,1997,1997,8,8,23,23,1,10
Convention of Liberal Reformers (CLR),1997,1997,8,8,24,24,1,4
Che Guevara Guerrillas,1997,1997,8,8,28,28,5,0
Serb demonstrators,1997,1997,8,8,28,28,1,0
Sa'ad Militia,1997,1997,8,8,29,29,1,9
Rizvon Sadirov Group,1997,1997,8,11,18,29,2,1
Filipino Soldiers for the Country,1997,1997,9,9,3,3,2,6
Saharan Revolutionary Armed Front (FARS),1997,1997,9,10,19,20,3,32
Jordanian Islamic Resistance,1997,2000,9,12,5,22,2,0
Grupo de Combatientes Populares,1997,2000,2,9,21,28,2,0
Commander Luciano Varela Antiguerrilla Group,1997,1997,10,10,3,3,1,11
Bin Zabyan Tribesmen,1997,1997,10,10,15,15,1,0
Shahid Khalsa Force,1997,1997,10,10,18,18,2,2
Revolutionary Struggle,1997,2015,1,12,2,30,24,1
Brelvi Muslims,1997,1997,10,10,20,21,2,5
Islamic Jihad Organization (Yemen),1997,1998,10,12,22,28,2,3
"Tribesmen, al-Itada",1997,1997,10,10,23,23,1,0
Retired Soldier,1997,1997,10,10,26,26,1,0
Kamajor Hunters,1997,1997,11,11,2,12,2,15
Revolutionary Combat Brigades,1997,1997,11,11,11,11,1,0
Party Unity,1997,1997,11,11,13,13,1,0
Supporters of ret. Gen. Lino Oviedo,1997,1997,11,11,19,19,1,0
Activists,1997,1997,11,12,1,30,4,3
Youth Gang,1997,1997,12,12,1,1,1,0
Modakeke Ethnic Activists,1997,1997,12,12,2,6,2,35
Al-Sunni muslim sect,1997,1997,12,12,4,4,1,1
Kisii Activists,1997,1997,12,12,19,19,1,4
People's Militia of Dagestan,1997,1997,12,12,22,22,2,0
People's Revolutionary Army (ERP),1997,2005,2,12,6,28,9,1
Maasai,1997,1997,12,12,28,28,1,3
National Development Party (NDP),1997,1997,12,12,29,29,1,0
Algerian Islamic Extremists,1998,2008,1,12,0,31,371,551
15-May,1998,1998,1,1,17,17,1,0
Conscientious Arsonists (CA),1998,1998,1,5,3,27,5,0
Union of Democratic Forces,1998,1998,2,2,4,4,1,0
Al-Ummah,1998,2014,2,7,1,19,16,39
Zviadists,1998,1998,2,2,20,20,1,0
Supporters of Ali Mahdi Mohammed,1998,1998,4,4,15,15,1,0
14 K Triad,1998,1998,5,5,8,11,4,0
May-98,1998,1998,5,5,17,17,2,0
Real Irish Republican Army (RIRA),1998,2012,1,11,1,28,41,34
Anti-Christian extremists,1998,1998,7,7,27,27,1,3
Arsonists for Social Cohesion,1998,1998,7,7,27,27,3,0
Banyamulenge rebels,1998,1998,8,8,24,24,1,37
Muslims Against Global Oppression (MAGO),1998,1998,8,8,26,26,1,1
Wolves of Islam,1998,1998,10,10,3,3,1,1
Partisan Sharpshooters,1998,1998,10,10,23,23,1,0
Tribesmen,1998,2018,1,12,0,31,113,662
Supporters of Colonel Mahmud Khudoyberdiyev,1998,1998,11,11,5,5,1,0
Orange Volunteers (OV),1998,2009,1,12,6,28,10,0
Robin Food,1998,1999,2,12,16,30,4,0
Tigers,1998,1998,11,11,20,20,1,1
Fight Against Authority,1999,1999,1,1,3,3,1,0
Mahdaviyat,1999,1999,1,1,5,5,1,1
Armed Forces Revolutionary Council (AFRC),1999,1999,1,5,6,7,2,10
Matan Abdulle,1999,1999,1,1,20,20,1,5
Vishwa Hindu Parishad (VHP),1999,2017,1,12,6,30,12,3
People Against Gangsterism and Drugs (PAGAD),1999,2013,1,9,7,30,9,2
Red Hand Defenders (RHD),1999,2003,1,12,1,29,23,9
Support of Ocalan-The Hawks of Thrace,1999,1999,2,2,8,8,1,0
Sword of Islam,1999,1999,2,2,9,9,1,1
Ansar Sarallah,1999,1999,2,2,24,24,1,0
Salafist Group for Preaching and Fighting (GSPC),1999,2008,1,12,0,31,207,590
Mazdoor Kisan Sangram Samiti (MKSS),1999,1999,3,3,3,3,1,4
Harkatul Jihad-e-Islami,1999,2017,1,10,7,31,18,226
The Front for the Liberation of the Cabinda Enclave - Renewed (FLEC),1999,2002,1,3,10,31,2,21
Comite d'Action Viticole,1999,2017,3,7,4,20,9,0
SKIF Detachment,1999,1999,3,3,28,28,1,0
National Democratic Alliance of Sudan,1999,1999,3,3,31,31,1,0
Pemuda Pancasila,1999,1999,4,4,2,2,1,0
New Revolutionary Alternative (NRA),1999,1999,4,4,4,4,1,0
Association of Mobil Spill Affected Communities (AMSAC),1999,1999,4,4,5,5,1,0
Anti-Imperialist Commando,1999,1999,4,4,16,16,1,0
CSS Movement,1999,1999,4,4,18,18,1,0
Anti-Racist Guerrilla Nuclei,1999,1999,4,4,20,20,1,0
Red Line,1999,1999,4,4,24,24,1,0
Loyalists,1999,2018,1,12,1,29,33,3
Aitarak Militia,1999,1999,5,5,9,16,2,1
Besi Merah Putih Militia,1999,1999,5,7,4,10,3,2
Anti-Independence extremists,1999,2007,5,11,16,29,3,5
People's Sovereignty Party (PDR),1999,1999,5,5,28,28,1,0
National Army for the Liberation of Uganda (NALU),1999,1999,5,5,30,30,1,1
Supporters of Ernest Wamba dia Wamba,1999,1999,6,6,3,3,1,0
United Self Defense Units of Colombia (AUC),1999,2009,1,12,0,31,67,341
Fatherland,1999,1999,6,6,10,10,1,0
Guadalcanal Liberation Army,1999,1999,6,6,12,12,1,2
Ijaw extremists,1999,2018,1,11,4,27,18,77
Human Rights Renewal Movement (Renovacion por los Derechos Humanos),1999,1999,6,6,26,26,1,0
